ID,Name,Party,Campaign Finance Overhaul,Unemployment and Tax Benefits,Fiscal 2003 Budget Resolution,Permanent Tax Cuts,Food Stamps,Nuclear Waste,Fiscal 2003 Defense Authorization,Abortions Overseas,Defense Authorization Recommitment,Welfare Renewal,Estate Tax Repeal,Married Couples Tax Relief,Late Term Abortion Ban,Homeland Sec/Union Memb,Homeland Sec/Civil Service Emp,Homeland Sec/Whistleblower Protections,Andean Trade,Abortion Service Refusals,Medical Malpractice Awards,Military Support for UN Resolution
215,Kleczka,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y
216,Knollenberg,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
217,Kolbe,R,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,Y,N
218,Kucinich,D,Y,N,N,N,Y,N,N,Y,Y,N,N,N,,N,Y,Y,N,N,N,N
219,LaFalce,D,Y,N,N,N,Y,N,,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y
220,LaHood,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
221,Lampson,D,Y,N,N,N,Y,Y,N,Y,Y,,Y,N,Y,N,Y,N,N,Y,N,Y
222,Langevin,D,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y
223,Lantos,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N
224,Largent,R,N,Y,,,,,,,,,,,,,,,,,,
225,Larsen R.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y
226,Larson J.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
227,Latham,R,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
228,LaTourette,R,Y,Y,Y,Y,,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y
229,Leach,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N
230,Lee,D,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N
231,Levin S.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
232,Lewis Jerry,R,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
233,Lewis John,D,Y,N,N,N,Y,N,N,,,Y,,N,N,N,Y,Y,N,Y,N,N
234,Lewis R.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
235,Linder,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
236,Lipinski,D,N,Y,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,,N,N,Y
237,LoBiondo,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
238,Lofgren,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
239,Lowey,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,,N,N,Y,Y,N,Y,N,N
240,Lucas F.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
241,Lucas K.,D,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
242,Luther,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y
243,Lynch,D,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y
244,Maloney C.,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
245,Maloney J.,D,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y
246,Manzullo,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N
247,Markey,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
248,Mascara,D,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,,N,Y
249,Matheson,D,Y,N,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
250,Matsui,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
251,McCarthy C.,D,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y
252,McCarthy K.,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,,N,N,Y,Y,N,Y,N,Y
253,McCollum,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
254,McCrery,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
255,McDermott,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N
256,McGovern,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
257,McHugh,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
258,McInnis,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,,Y,Y,N,N,Y,N,Y,N
259,McIntyre,D,Y,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y
260,McKeon,R,N,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
261,McKinney,D,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,N
262,McNulty,D,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N
263,Meehan,D,Y,N,N,N,Y,N,,Y,Y,Y,N,N,N,,,,,Y,N,Y
264,Meek C.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
265,Meeks G.,D,Y,N,N,N,,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y
266,Menendez,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,Y
267,Mica,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
268,Millender-McDonald,D,Y,N,N,N,Y,N,N,,,,N,N,N,N,Y,Y,N,Y,N,Y
269,Miller D.,R,N,,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
270,Miller Gary,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
271,Miller George,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
272,Miller J.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
273,Mink,D,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,,,
274,Mollohan,D,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y
275,Moore,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N
276,Moran James,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y
277,Moran Jerry,R,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
278,Morella,R,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,Y
279,Murtha,D,N,N,N,N,Y,Y,N,N,Y,,N,N,Y,N,Y,N,N,N,Y,N
280,Myrick,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
281,Nadler,D,Y,N,N,N,Y,,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
282,Napolitano,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
283,Neal,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y
284,Nethercutt,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
285,Ney,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
286,Northup,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
287,Norwood,R,N,Y,Y,Y,N,Y,Y,N,N,,Y,Y,Y,Y,N,N,N,N,Y,N
288,Nussle,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
289,Oberstar,D,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,N
290,Obey,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y
291,Olver,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
292,Ortiz,D,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y
293,Osborne,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
294,Ose,R,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N
295,Otter,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
296,Owens,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,,N,N,Y,Y,N,Y,N,N
297,Oxley ,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
298,Pallone,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
299,Pascrell,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y
300,Pastor,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
301,Paul,R,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,Y
302,Payne,D,Y,,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
303,Pelosi,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
304,Pence,R,N,Y,Y,Y,N,N,Y,N,N,N,Y,,Y,Y,N,N,Y,N,Y,N
305,Peterson C.,D,N,N,N,N,Y,Y,Y,N,N,Y,Y,,Y,N,Y,N,N,N,Y,Y
306,Peterson J.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
307,Petri,R,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N
308,Phelps,D,Y,N,N,N,Y,Y,N,N,N,Y,Y,Y,,N,Y,Y,N,N,N,N
309,Pickering,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
310,Pitts,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
311,Platts,R,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
312,Pombo,R,N,Y,Y,Y,N,N,Y,N,N,,Y,Y,Y,Y,N,N,Y,N,Y,N
313,Pomeroy,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N
314,Portman,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
315,Price D.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
316,Pryce D.,R,N,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
317,Putnam,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
318,Quinn,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,,Y,Y,N,N,N,N,Y,N
319,Radanovich,R,N,Y,Y,Y,,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
320,Rahall,D,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y
321,Ramstad,R,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
322,Rangel,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N
323,Regula,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
324,Rehberg,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
325,Reyes,D,Y,N,N,N,Y,N,Y,,,Y,N,Y,Y,N,Y,Y,N,Y,N,Y
326,Reynolds,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
327,Riley,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
328,Rivers,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N
329,Rodriguez,D,Y,N,N,N,,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
330,Roemer,D,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,N
331,Rogers H.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
332,Rogers M.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
333,Rohrabacher,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
334,Ros-Lehtinen,R,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N
335,Ross,D,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N
336,Rothman,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N
337,Roukema,R,Y,,Y,,N,Y,,,,N,,Y,Y,Y,N,,,,,
338,Roybal-Allard,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
339,Royce,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
340,Rush,D,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N
341,Ryan P.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
342,Ryun J.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
343,Sabo,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
344,Sanchez,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
345,Sanders,D,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y
346,Sandlin,D,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y
347,Sawyer,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
348,Saxton ,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
349,Schaffer,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
350,Schakowsky,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
351,Schiff,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,Y
352,Schrock,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
353,Scott,D,Y,N,N,N,Y,,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
354,Sensenbrenner,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
355,Serrano,D,Y,N,N,N,Y,N,N,Y,Y,Y,,N,N,N,Y,Y,N,Y,N,N
356,Sessions P.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
357,Shadegg,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
358,Shaw,R,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
359,Shays,R,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N
360,Sherman,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
361,Sherwood,R,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
362,Shimkus,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
363,Shows,D,N,Y,N,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,N
364,Shuster Bill,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
365,Simmons,R,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,Y,Y
366,Simpson,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
367,Skeen,R,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
368,Skelton,D,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y
369,Slaughter,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
370,Smith A.,D,Y,N,N,N,,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,Y
371,Smith C.,R,N,Y,Y,Y,Y,Y,,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
372,Smith L.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,,Y,Y,N,N,Y,N,Y,N
373,Smith N.,R,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
374,Snyder,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,Y
375,Solis,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
376,Souder,R,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
377,Spratt,D,Y,N,N,N,,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,Y
378,Stark,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
379,Stearns,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
380,Stenholm,D,Y,,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N
381,Strickland,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y
382,Stump,R,N,,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,,N,N,,,,
383,Stupak,D,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y
384,Sullivan,R,,,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
385,Sununu,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
386,Sweeney,R,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
387,Tancredo,R,N,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
388,Tanner,D,Y,N,N,N,Y,Y,N,Y,Y,,Y,N,Y,N,Y,N,Y,Y,N,Y
389,Tauscher,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,Y
390,Tauzin,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
391,Taylor C.,R,N,,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
392,Taylor G.,D,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,N
393,Terry,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,,Y,N,N,N
394,Thomas B.,R,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N
395,Thompson B.,D,N,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
396,Thompson M.,D,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,,Y
397,Thornberry,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
398,Thune,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
399,Thurman K.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,,,Y
400,Tiahrt,R,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
401,Tiberi,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
402,Tierney,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
403,Toomey,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
404,Towns,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,,N,N
405,Traficant,D,,,,,,,,,,,,,,,,,,,,
406,Turner,D,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N
407,Udall M.,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y
408,Udall T.,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
409,Upton,R,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
410,Velazquez,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N
411,Visclosky,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y
412,Vitter,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
413,Walden,R,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
414,Walsh,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
415,Wamp,R,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
416,Waters,D,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y
417,Watkins,R,N,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
418,Watson,D,Y,N,N,N,Y,N,,,,Y,N,N,N,N,Y,Y,N,Y,N,Y
419,Watt M.,D,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y
420,Watts J.C.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
421,Waxman,D,Y,N,N,N,Y,,,,,Y,N,N,N,N,Y,Y,N,Y,N,Y
422,Weiner,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
423,Weldon C.,R,Y,,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
424,Weldon D.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
425,Weller,R,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
426,Wexler,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
427,Whitfield,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
428,Wicker,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
429,Wilson H.,R,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
430,Wilson J.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N
431,Wolf,R,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
432,Woolsey,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N
433,Wu,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y
434,Wynn,D,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y
435,Young C.W.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
436,Young D.,R,N,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
